Method,z_um,f_norm,H_A
Clear,-100.0,0.005,1.0
Clear,-100.0,0.015,0.9975452645416161
Clear,-100.0,0.025,0.9923667419004927
Clear,-100.0,0.035,0.9848811375171937
Clear,-100.0,0.045,0.9744217534590834
Clear,-100.0,0.055,0.9611056120994237
Clear,-100.0,0.065,0.9485550629795588
Clear,-100.0,0.07500000000000001,0.9346265207889003
Clear,-100.0,0.08499999999999999,0.9148807337987213
Clear,-100.0,0.095,0.894256465656117
Clear,-100.0,0.10500000000000001,0.8712014757862103
Clear,-100.0,0.11499999999999999,0.8440983536854143
Clear,-100.0,0.125,0.8172350667387314
Clear,-100.0,0.135,0.792682911846179
Clear,-100.0,0.14500000000000002,0.761686655396149
Clear,-100.0,0.155,0.7249660746815318
Clear,-100.0,0.165,0.6881961059159859
Clear,-100.0,0.175,0.6524651845015048
Clear,-100.0,0.185,0.6151501068495451
Clear,-100.0,0.195,0.5789472169355014
Clear,-100.0,0.20500000000000002,0.5429211545539366
Clear,-100.0,0.215,0.5051227718296559
Clear,-100.0,0.225,0.4661633707320058
Clear,-100.0,0.235,0.4256446350782544
Clear,-100.0,0.245,0.38397137017898225
Clear,-100.0,0.255,0.34389962535747826
Clear,-100.0,0.265,0.306384518893415
Clear,-100.0,0.275,0.2708255927236711
Clear,-100.0,0.28500000000000003,0.2345710555079782
Clear,-100.0,0.295,0.19987044294442505
Clear,-100.0,0.305,0.1668004064075867
Clear,-100.0,0.315,0.1359240363551544
Clear,-100.0,0.325,0.11082037712781947
Clear,-100.0,0.335,0.08810105192379226
Clear,-100.0,0.34500000000000003,0.06499103279445408
Clear,-100.0,0.355,0.044739828947840614
Clear,-100.0,0.365,0.028679359661765887
Clear,-100.0,0.375,0.01548958995815865
Clear,-100.0,0.385,0.00513204992226641
Clear,-100.0,0.395,-0.0016916977176214501
Clear,-100.0,0.405,-0.005394291683766478
Clear,-100.0,0.41500000000000004,-0.007424110265972145
Clear,-100.0,0.425,-0.00857543667694305
Clear,-100.0,0.435,-0.008598363802847588
Clear,-100.0,0.445,-0.007574404816054091
Clear,-100.0,0.455,-0.005696319124793172
Clear,-100.0,0.465,-0.0032058996840619853
Clear,-100.0,0.475,-0.0003943912579462748
Clear,-100.0,0.485,0.0032468349430628666
Clear,-100.0,0.495,0.00727814211793234
Clear,-100.0,0.505,0.011474946789540034
Clear,-100.0,0.515,0.015723488023773744
Clear,-100.0,0.525,0.020099360075862473
Clear,-100.0,0.535,0.024401009304596512
Clear,-100.0,0.545,0.028582365406020754
Clear,-100.0,0.555,0.03288873706508264
Clear,-100.0,0.5650000000000001,0.0371290106146515
Clear,-100.0,0.575,0.04132307761863249
Clear,-100.0,0.585,0.04530676048180344
